Stand,State,Slope,AYD,Treatment Area,Elev,Harvesting System
1929,CA,20,700,50,0,Ground-Based Mech WT
1930,CA,20,700,60,0,Ground-Based Mech WT
1931,CA,20,700,70,0,Ground-Based Mech WT
1932,CA,20,700,80,0,Ground-Based Mech WT
1933,CA,20,700,90,0,Ground-Based Mech WT
1934,CA,20,700,100,0,Ground-Based Mech WT
1935,CA,20,700,110,0,Ground-Based Mech WT
1936,CA,20,700,120,0,Ground-Based Mech WT
1937,CA,20,700,130,0,Ground-Based Mech WT
1938,CA,20,700,140,0,Ground-Based Mech WT
1939,CA,20,700,150,0,Ground-Based Mech WT
1940,CA,20,700,160,0,Ground-Based Mech WT
1941,CA,20,700,170,0,Ground-Based Mech WT
1942,CA,20,700,180,0,Ground-Based Mech WT
1943,CA,20,700,190,0,Ground-Based Mech WT
1944,CA,20,800,20,0,Ground-Based Mech WT
1945,CA,20,800,30,0,Ground-Based Mech WT
1946,CA,20,800,40,0,Ground-Based Mech WT
1947,CA,20,800,50,0,Ground-Based Mech WT
1948,CA,20,800,60,0,Ground-Based Mech WT
1949,CA,20,800,70,0,Ground-Based Mech WT
1950,CA,20,800,80,0,Ground-Based Mech WT
1951,CA,20,800,90,0,Ground-Based Mech WT
1952,CA,20,800,100,0,Ground-Based Mech WT
1953,CA,20,800,110,0,Ground-Based Mech WT
1954,CA,20,800,120,0,Ground-Based Mech WT
1955,CA,20,800,130,0,Ground-Based Mech WT
1956,CA,20,800,140,0,Ground-Based Mech WT
1957,CA,20,800,150,0,Ground-Based Mech WT
1958,CA,20,800,160,0,Ground-Based Mech WT
1959,CA,20,800,170,0,Ground-Based Mech WT
1960,CA,20,800,180,0,Ground-Based Mech WT
1961,CA,20,800,190,0,Ground-Based Mech WT
1962,CA,20,900,20,0,Ground-Based Mech WT
1963,CA,20,900,30,0,Ground-Based Mech WT
1964,CA,20,900,40,0,Ground-Based Mech WT
1965,CA,20,900,50,0,Ground-Based Mech WT
1966,CA,20,900,60,0,Ground-Based Mech WT
1967,CA,20,900,70,0,Ground-Based Mech WT
1968,CA,20,900,80,0,Ground-Based Mech WT
1969,CA,20,900,90,0,Ground-Based Mech WT
1970,CA,20,900,100,0,Ground-Based Mech WT
1971,CA,20,900,110,0,Ground-Based Mech WT
1972,CA,20,900,120,0,Ground-Based Mech WT
1973,CA,20,900,130,0,Ground-Based Mech WT
1974,CA,20,900,140,0,Ground-Based Mech WT
1975,CA,20,900,150,0,Ground-Based Mech WT
1976,CA,20,900,160,0,Ground-Based Mech WT
1977,CA,20,900,170,0,Ground-Based Mech WT
1978,CA,20,900,180,0,Ground-Based Mech WT
1979,CA,20,900,190,0,Ground-Based Mech WT
1980,CA,20,1000,20,0,Ground-Based Mech WT
1981,CA,20,1000,30,0,Ground-Based Mech WT
1982,CA,20,1000,40,0,Ground-Based Mech WT
1983,CA,20,1000,50,0,Ground-Based Mech WT
1984,CA,20,1000,60,0,Ground-Based Mech WT
1985,CA,20,1000,70,0,Ground-Based Mech WT
1986,CA,20,1000,80,0,Ground-Based Mech WT
1987,CA,20,1000,90,0,Ground-Based Mech WT
1988,CA,20,1000,100,0,Ground-Based Mech WT
1989,CA,20,1000,110,0,Ground-Based Mech WT
1990,CA,20,1000,120,0,Ground-Based Mech WT
1991,CA,20,1000,130,0,Ground-Based Mech WT
1992,CA,20,1000,140,0,Ground-Based Mech WT
1993,CA,20,1000,150,0,Ground-Based Mech WT
1994,CA,20,1000,160,0,Ground-Based Mech WT
1995,CA,20,1000,170,0,Ground-Based Mech WT
1996,CA,20,1000,180,0,Ground-Based Mech WT
1997,CA,20,1000,190,0,Ground-Based Mech WT
1998,CA,20,1100,20,0,Ground-Based Mech WT
1999,CA,20,1100,30,0,Ground-Based Mech WT
2000,CA,20,1100,40,0,Ground-Based Mech WT
2001,CA,20,1100,50,0,Ground-Based Mech WT
2002,CA,20,1100,60,0,Ground-Based Mech WT
2003,CA,20,1100,70,0,Ground-Based Mech WT
2004,CA,20,1100,80,0,Ground-Based Mech WT
2005,CA,20,1100,90,0,Ground-Based Mech WT
2006,CA,20,1100,100,0,Ground-Based Mech WT
2007,CA,20,1100,110,0,Ground-Based Mech WT
2008,CA,20,1100,120,0,Ground-Based Mech WT
2009,CA,20,1100,130,0,Ground-Based Mech WT
2010,CA,20,1100,140,0,Ground-Based Mech WT
2011,CA,20,1100,150,0,Ground-Based Mech WT
2012,CA,20,1100,160,0,Ground-Based Mech WT
2013,CA,20,1100,170,0,Ground-Based Mech WT
2014,CA,20,1100,180,0,Ground-Based Mech WT
2015,CA,20,1100,190,0,Ground-Based Mech WT
2016,CA,20,1200,20,0,Ground-Based Mech WT
2017,CA,20,1200,30,0,Ground-Based Mech WT
2018,CA,20,1200,40,0,Ground-Based Mech WT
2019,CA,20,1200,50,0,Ground-Based Mech WT
2020,CA,20,1200,60,0,Ground-Based Mech WT
2021,CA,20,1200,70,0,Ground-Based Mech WT
2022,CA,20,1200,80,0,Ground-Based Mech WT
2023,CA,20,1200,90,0,Ground-Based Mech WT
2024,CA,20,1200,100,0,Ground-Based Mech WT
2025,CA,20,1200,110,0,Ground-Based Mech WT
2026,CA,20,1200,120,0,Ground-Based Mech WT
2027,CA,20,1200,130,0,Ground-Based Mech WT
2028,CA,20,1200,140,0,Ground-Based Mech WT
2029,CA,20,1200,150,0,Ground-Based Mech WT
2030,CA,20,1200,160,0,Ground-Based Mech WT
2031,CA,20,1200,170,0,Ground-Based Mech WT
2032,CA,20,1200,180,0,Ground-Based Mech WT
2033,CA,20,1200,190,0,Ground-Based Mech WT
2034,CA,20,1300,20,0,Ground-Based Mech WT
2035,CA,20,1300,30,0,Ground-Based Mech WT
2036,CA,20,1300,40,0,Ground-Based Mech WT
2037,CA,20,1300,50,0,Ground-Based Mech WT
2038,CA,20,1300,60,0,Ground-Based Mech WT
2039,CA,20,1300,70,0,Ground-Based Mech WT
2040,CA,20,1300,80,0,Ground-Based Mech WT
2041,CA,20,1300,90,0,Ground-Based Mech WT
2042,CA,20,1300,100,0,Ground-Based Mech WT
2043,CA,20,1300,110,0,Ground-Based Mech WT
2044,CA,20,1300,120,0,Ground-Based Mech WT
2045,CA,20,1300,130,0,Ground-Based Mech WT
2046,CA,20,1300,140,0,Ground-Based Mech WT
2047,CA,20,1300,150,0,Ground-Based Mech WT
2048,CA,20,1300,160,0,Ground-Based Mech WT
2049,CA,20,1300,170,0,Ground-Based Mech WT
2050,CA,20,1300,180,0,Ground-Based Mech WT
2051,CA,20,1300,190,0,Ground-Based Mech WT
2052,CA,20,1400,20,0,Ground-Based Mech WT
2053,CA,20,1400,30,0,Ground-Based Mech WT
2054,CA,20,1400,40,0,Ground-Based Mech WT
2055,CA,20,1400,50,0,Ground-Based Mech WT
2056,CA,20,1400,60,0,Ground-Based Mech WT
2057,CA,20,1400,70,0,Ground-Based Mech WT
2058,CA,20,1400,80,0,Ground-Based Mech WT
2059,CA,20,1400,90,0,Ground-Based Mech WT
2060,CA,20,1400,100,0,Ground-Based Mech WT
2061,CA,20,1400,110,0,Ground-Based Mech WT
2062,CA,20,1400,120,0,Ground-Based Mech WT
2063,CA,20,1400,130,0,Ground-Based Mech WT
2064,CA,20,1400,140,0,Ground-Based Mech WT
2065,CA,20,1400,150,0,Ground-Based Mech WT
2066,CA,20,1400,160,0,Ground-Based Mech WT
2067,CA,20,1400,170,0,Ground-Based Mech WT
2068,CA,20,1400,180,0,Ground-Based Mech WT
2069,CA,20,1400,190,0,Ground-Based Mech WT
2070,CA,20,1500,20,0,Ground-Based Mech WT
2071,CA,20,1500,30,0,Ground-Based Mech WT
2072,CA,20,1500,40,0,Ground-Based Mech WT
2073,CA,20,1500,50,0,Ground-Based Mech WT
2074,CA,20,1500,60,0,Ground-Based Mech WT
2075,CA,20,1500,70,0,Ground-Based Mech WT
2076,CA,20,1500,80,0,Ground-Based Mech WT
2077,CA,20,1500,90,0,Ground-Based Mech WT
2078,CA,20,1500,100,0,Ground-Based Mech WT
2079,CA,20,1500,110,0,Ground-Based Mech WT
2080,CA,20,1500,120,0,Ground-Based Mech WT
2081,CA,20,1500,130,0,Ground-Based Mech WT
2082,CA,20,1500,140,0,Ground-Based Mech WT
2083,CA,20,1500,150,0,Ground-Based Mech WT
2084,CA,20,1500,160,0,Ground-Based Mech WT
2085,CA,20,1500,170,0,Ground-Based Mech WT
2086,CA,20,1500,180,0,Ground-Based Mech WT
2087,CA,20,1500,190,0,Ground-Based Mech WT
2088,CA,20,1600,20,0,Ground-Based Mech WT
2089,CA,20,1600,30,0,Ground-Based Mech WT
2090,CA,20,1600,40,0,Ground-Based Mech WT
2091,CA,20,1600,50,0,Ground-Based Mech WT
2092,CA,20,1600,60,0,Ground-Based Mech WT
2093,CA,20,1600,70,0,Ground-Based Mech WT
2094,CA,20,1600,80,0,Ground-Based Mech WT
2095,CA,20,1600,90,0,Ground-Based Mech WT
2096,CA,20,1600,100,0,Ground-Based Mech WT
2097,CA,20,1600,110,0,Ground-Based Mech WT
2098,CA,20,1600,120,0,Ground-Based Mech WT
2099,CA,20,1600,130,0,Ground-Based Mech WT
2100,CA,20,1600,140,0,Ground-Based Mech WT
2101,CA,20,1600,150,0,Ground-Based Mech WT
2102,CA,20,1600,160,0,Ground-Based Mech WT
2103,CA,20,1600,170,0,Ground-Based Mech WT
2104,CA,20,1600,180,0,Ground-Based Mech WT
2105,CA,20,1600,190,0,Ground-Based Mech WT
2106,CA,20,1700,20,0,Ground-Based Mech WT
2107,CA,20,1700,30,0,Ground-Based Mech WT
2108,CA,20,1700,40,0,Ground-Based Mech WT
2109,CA,20,1700,50,0,Ground-Based Mech WT
2110,CA,20,1700,60,0,Ground-Based Mech WT
2111,CA,20,1700,70,0,Ground-Based Mech WT
2112,CA,20,1700,80,0,Ground-Based Mech WT
2113,CA,20,1700,90,0,Ground-Based Mech WT
2114,CA,20,1700,100,0,Ground-Based Mech WT
2115,CA,20,1700,110,0,Ground-Based Mech WT
2116,CA,20,1700,120,0,Ground-Based Mech WT
2117,CA,20,1700,130,0,Ground-Based Mech WT
2118,CA,20,1700,140,0,Ground-Based Mech WT
2119,CA,20,1700,150,0,Ground-Based Mech WT
2120,CA,20,1700,160,0,Ground-Based Mech WT
2121,CA,20,1700,170,0,Ground-Based Mech WT
2122,CA,20,1700,180,0,Ground-Based Mech WT
2123,CA,20,1700,190,0,Ground-Based Mech WT
2124,CA,20,1800,20,0,Ground-Based Mech WT
2125,CA,20,1800,30,0,Ground-Based Mech WT
2126,CA,20,1800,40,0,Ground-Based Mech WT
2127,CA,20,1800,50,0,Ground-Based Mech WT
2128,CA,20,1800,60,0,Ground-Based Mech WT
2129,CA,20,1800,70,0,Ground-Based Mech WT
2130,CA,20,1800,80,0,Ground-Based Mech WT
2131,CA,20,1800,90,0,Ground-Based Mech WT
2132,CA,20,1800,100,0,Ground-Based Mech WT
2133,CA,20,1800,110,0,Ground-Based Mech WT
2134,CA,20,1800,120,0,Ground-Based Mech WT
2135,CA,20,1800,130,0,Ground-Based Mech WT
2136,CA,20,1800,140,0,Ground-Based Mech WT
2137,CA,20,1800,150,0,Ground-Based Mech WT
2138,CA,20,1800,160,0,Ground-Based Mech WT
2139,CA,20,1800,170,0,Ground-Based Mech WT
2140,CA,20,1800,180,0,Ground-Based Mech WT
2141,CA,20,1800,190,0,Ground-Based Mech WT
2142,CA,20,1900,20,0,Ground-Based Mech WT
2143,CA,20,1900,30,0,Ground-Based Mech WT
2144,CA,20,1900,40,0,Ground-Based Mech WT
2145,CA,20,1900,50,0,Ground-Based Mech WT
2146,CA,20,1900,60,0,Ground-Based Mech WT
2147,CA,20,1900,70,0,Ground-Based Mech WT
2148,CA,20,1900,80,0,Ground-Based Mech WT
2149,CA,20,1900,90,0,Ground-Based Mech WT
2150,CA,20,1900,100,0,Ground-Based Mech WT
2151,CA,20,1900,110,0,Ground-Based Mech WT
2152,CA,20,1900,120,0,Ground-Based Mech WT
2153,CA,20,1900,130,0,Ground-Based Mech WT
2154,CA,20,1900,140,0,Ground-Based Mech WT
2155,CA,20,1900,150,0,Ground-Based Mech WT
2156,CA,20,1900,160,0,Ground-Based Mech WT
2157,CA,20,1900,170,0,Ground-Based Mech WT
2158,CA,20,1900,180,0,Ground-Based Mech WT
2159,CA,20,1900,190,0,Ground-Based Mech WT
2160,CA,20,2000,20,0,Ground-Based Mech WT
2161,CA,20,2000,30,0,Ground-Based Mech WT
2162,CA,20,2000,40,0,Ground-Based Mech WT
2163,CA,20,2000,50,0,Ground-Based Mech WT
2164,CA,20,2000,60,0,Ground-Based Mech WT
2165,CA,20,2000,70,0,Ground-Based Mech WT
2166,CA,20,2000,80,0,Ground-Based Mech WT
2167,CA,20,2000,90,0,Ground-Based Mech WT
2168,CA,20,2000,100,0,Ground-Based Mech WT
2169,CA,20,2000,110,0,Ground-Based Mech WT
2170,CA,20,2000,120,0,Ground-Based Mech WT
2171,CA,20,2000,130,0,Ground-Based Mech WT
2172,CA,20,2000,140,0,Ground-Based Mech WT
2173,CA,20,2000,150,0,Ground-Based Mech WT
2174,CA,20,2000,160,0,Ground-Based Mech WT
2175,CA,20,2000,170,0,Ground-Based Mech WT
2176,CA,20,2000,180,0,Ground-Based Mech WT
2177,CA,20,2000,190,0,Ground-Based Mech WT
2178,CA,20,2100,20,0,Ground-Based Mech WT
2179,CA,20,2100,30,0,Ground-Based Mech WT
2180,CA,20,2100,40,0,Ground-Based Mech WT
2181,CA,20,2100,50,0,Ground-Based Mech WT
2182,CA,20,2100,60,0,Ground-Based Mech WT
2183,CA,20,2100,70,0,Ground-Based Mech WT
2184,CA,20,2100,80,0,Ground-Based Mech WT
2185,CA,20,2100,90,0,Ground-Based Mech WT
2186,CA,20,2100,100,0,Ground-Based Mech WT
2187,CA,20,2100,110,0,Ground-Based Mech WT
2188,CA,20,2100,120,0,Ground-Based Mech WT
2189,CA,20,2100,130,0,Ground-Based Mech WT
2190,CA,20,2100,140,0,Ground-Based Mech WT
2191,CA,20,2100,150,0,Ground-Based Mech WT
2192,CA,20,2100,160,0,Ground-Based Mech WT
2193,CA,20,2100,170,0,Ground-Based Mech WT
2194,CA,20,2100,180,0,Ground-Based Mech WT
2195,CA,20,2100,190,0,Ground-Based Mech WT
2196,CA,20,2200,20,0,Ground-Based Mech WT
2197,CA,20,2200,30,0,Ground-Based Mech WT
2198,CA,20,2200,40,0,Ground-Based Mech WT
2199,CA,20,2200,50,0,Ground-Based Mech WT
2200,CA,20,2200,60,0,Ground-Based Mech WT
2201,CA,20,2200,70,0,Ground-Based Mech WT
2202,CA,20,2200,80,0,Ground-Based Mech WT
2203,CA,20,2200,90,0,Ground-Based Mech WT
2204,CA,20,2200,100,0,Ground-Based Mech WT
2205,CA,20,2200,110,0,Ground-Based Mech WT
2206,CA,20,2200,120,0,Ground-Based Mech WT
2207,CA,20,2200,130,0,Ground-Based Mech WT
2208,CA,20,2200,140,0,Ground-Based Mech WT
2209,CA,20,2200,150,0,Ground-Based Mech WT
2210,CA,20,2200,160,0,Ground-Based Mech WT
2211,CA,20,2200,170,0,Ground-Based Mech WT
2212,CA,20,2200,180,0,Ground-Based Mech WT
2213,CA,20,2200,190,0,Ground-Based Mech WT
2214,CA,20,2300,20,0,Ground-Based Mech WT
2215,CA,20,2300,30,0,Ground-Based Mech WT
2216,CA,20,2300,40,0,Ground-Based Mech WT
2217,CA,20,2300,50,0,Ground-Based Mech WT
2218,CA,20,2300,60,0,Ground-Based Mech WT
2219,CA,20,2300,70,0,Ground-Based Mech WT
2220,CA,20,2300,80,0,Ground-Based Mech WT
2221,CA,20,2300,90,0,Ground-Based Mech WT
2222,CA,20,2300,100,0,Ground-Based Mech WT
2223,CA,20,2300,110,0,Ground-Based Mech WT
2224,CA,20,2300,120,0,Ground-Based Mech WT
2225,CA,20,2300,130,0,Ground-Based Mech WT
2226,CA,20,2300,140,0,Ground-Based Mech WT
2227,CA,20,2300,150,0,Ground-Based Mech WT
2228,CA,20,2300,160,0,Ground-Based Mech WT
2229,CA,20,2300,170,0,Ground-Based Mech WT
2230,CA,20,2300,180,0,Ground-Based Mech WT
2231,CA,20,2300,190,0,Ground-Based Mech WT
2232,CA,20,2400,20,0,Ground-Based Mech WT
2233,CA,20,2400,30,0,Ground-Based Mech WT
2234,CA,20,2400,40,0,Ground-Based Mech WT
2235,CA,20,2400,50,0,Ground-Based Mech WT
2236,CA,20,2400,60,0,Ground-Based Mech WT
2237,CA,20,2400,70,0,Ground-Based Mech WT
2238,CA,20,2400,80,0,Ground-Based Mech WT
2239,CA,20,2400,90,0,Ground-Based Mech WT
2240,CA,20,2400,100,0,Ground-Based Mech WT
2241,CA,20,2400,110,0,Ground-Based Mech WT
2242,CA,20,2400,120,0,Ground-Based Mech WT
2243,CA,20,2400,130,0,Ground-Based Mech WT
2244,CA,20,2400,140,0,Ground-Based Mech WT
2245,CA,20,2400,150,0,Ground-Based Mech WT
2246,CA,20,2400,160,0,Ground-Based Mech WT
2247,CA,20,2400,170,0,Ground-Based Mech WT
2248,CA,20,2400,180,0,Ground-Based Mech WT
2249,CA,20,2400,190,0,Ground-Based Mech WT
2250,CA,25,0,20,0,Ground-Based Mech WT
2251,CA,25,0,30,0,Ground-Based Mech WT
2252,CA,25,0,40,0,Ground-Based Mech WT
2253,CA,25,0,50,0,Ground-Based Mech WT
2254,CA,25,0,60,0,Ground-Based Mech WT
2255,CA,25,0,70,0,Ground-Based Mech WT
2256,CA,25,0,80,0,Ground-Based Mech WT
2257,CA,25,0,90,0,Ground-Based Mech WT
2258,CA,25,0,100,0,Ground-Based Mech WT
2259,CA,25,0,110,0,Ground-Based Mech WT
2260,CA,25,0,120,0,Ground-Based Mech WT
2261,CA,25,0,130,0,Ground-Based Mech WT
2262,CA,25,0,140,0,Ground-Based Mech WT
2263,CA,25,0,150,0,Ground-Based Mech WT
2264,CA,25,0,160,0,Ground-Based Mech WT
2265,CA,25,0,170,0,Ground-Based Mech WT
2266,CA,25,0,180,0,Ground-Based Mech WT
2267,CA,25,0,190,0,Ground-Based Mech WT
2268,CA,25,100,20,0,Ground-Based Mech WT
2269,CA,25,100,30,0,Ground-Based Mech WT
2270,CA,25,100,40,0,Ground-Based Mech WT
2271,CA,25,100,50,0,Ground-Based Mech WT
2272,CA,25,100,60,0,Ground-Based Mech WT
2273,CA,25,100,70,0,Ground-Based Mech WT
2274,CA,25,100,80,0,Ground-Based Mech WT
2275,CA,25,100,90,0,Ground-Based Mech WT
2276,CA,25,100,100,0,Ground-Based Mech WT
2277,CA,25,100,110,0,Ground-Based Mech WT
2278,CA,25,100,120,0,Ground-Based Mech WT
2279,CA,25,100,130,0,Ground-Based Mech WT
2280,CA,25,100,140,0,Ground-Based Mech WT
2281,CA,25,100,150,0,Ground-Based Mech WT
2282,CA,25,100,160,0,Ground-Based Mech WT
2283,CA,25,100,170,0,Ground-Based Mech WT
2284,CA,25,100,180,0,Ground-Based Mech WT
2285,CA,25,100,190,0,Ground-Based Mech WT
2286,CA,25,200,20,0,Ground-Based Mech WT
2287,CA,25,200,30,0,Ground-Based Mech WT
2288,CA,25,200,40,0,Ground-Based Mech WT
2289,CA,25,200,50,0,Ground-Based Mech WT
2290,CA,25,200,60,0,Ground-Based Mech WT
2291,CA,25,200,70,0,Ground-Based Mech WT
2292,CA,25,200,80,0,Ground-Based Mech WT
2293,CA,25,200,90,0,Ground-Based Mech WT
2294,CA,25,200,100,0,Ground-Based Mech WT
2295,CA,25,200,110,0,Ground-Based Mech WT
2296,CA,25,200,120,0,Ground-Based Mech WT
2297,CA,25,200,130,0,Ground-Based Mech WT
2298,CA,25,200,140,0,Ground-Based Mech WT
2299,CA,25,200,150,0,Ground-Based Mech WT
2300,CA,25,200,160,0,Ground-Based Mech WT
2301,CA,25,200,170,0,Ground-Based Mech WT
2302,CA,25,200,180,0,Ground-Based Mech WT
2303,CA,25,200,190,0,Ground-Based Mech WT
2304,CA,25,300,20,0,Ground-Based Mech WT
2305,CA,25,300,30,0,Ground-Based Mech WT
2306,CA,25,300,40,0,Ground-Based Mech WT
2307,CA,25,300,50,0,Ground-Based Mech WT
2308,CA,25,300,60,0,Ground-Based Mech WT
2309,CA,25,300,70,0,Ground-Based Mech WT
2310,CA,25,300,80,0,Ground-Based Mech WT
2311,CA,25,300,90,0,Ground-Based Mech WT
2312,CA,25,300,100,0,Ground-Based Mech WT
2313,CA,25,300,110,0,Ground-Based Mech WT
2314,CA,25,300,120,0,Ground-Based Mech WT
2315,CA,25,300,130,0,Ground-Based Mech WT
2316,CA,25,300,140,0,Ground-Based Mech WT
2317,CA,25,300,150,0,Ground-Based Mech WT
2318,CA,25,300,160,0,Ground-Based Mech WT
2319,CA,25,300,170,0,Ground-Based Mech WT
2320,CA,25,300,180,0,Ground-Based Mech WT
2321,CA,25,300,190,0,Ground-Based Mech WT
2322,CA,25,400,20,0,Ground-Based Mech WT
2323,CA,25,400,30,0,Ground-Based Mech WT
2324,CA,25,400,40,0,Ground-Based Mech WT
2325,CA,25,400,50,0,Ground-Based Mech WT
2326,CA,25,400,60,0,Ground-Based Mech WT
2327,CA,25,400,70,0,Ground-Based Mech WT
2328,CA,25,400,80,0,Ground-Based Mech WT
2329,CA,25,400,90,0,Ground-Based Mech WT
2330,CA,25,400,100,0,Ground-Based Mech WT
2331,CA,25,400,110,0,Ground-Based Mech WT
2332,CA,25,400,120,0,Ground-Based Mech WT
2333,CA,25,400,130,0,Ground-Based Mech WT
2334,CA,25,400,140,0,Ground-Based Mech WT
2335,CA,25,400,150,0,Ground-Based Mech WT
2336,CA,25,400,160,0,Ground-Based Mech WT
2337,CA,25,400,170,0,Ground-Based Mech WT
2338,CA,25,400,180,0,Ground-Based Mech WT
2339,CA,25,400,190,0,Ground-Based Mech WT
2340,CA,25,500,20,0,Ground-Based Mech WT
2341,CA,25,500,30,0,Ground-Based Mech WT
2342,CA,25,500,40,0,Ground-Based Mech WT
2343,CA,25,500,50,0,Ground-Based Mech WT
2344,CA,25,500,60,0,Ground-Based Mech WT
2345,CA,25,500,70,0,Ground-Based Mech WT
2346,CA,25,500,80,0,Ground-Based Mech WT
2347,CA,25,500,90,0,Ground-Based Mech WT
2348,CA,25,500,100,0,Ground-Based Mech WT
2349,CA,25,500,110,0,Ground-Based Mech WT
2350,CA,25,500,120,0,Ground-Based Mech WT
2351,CA,25,500,130,0,Ground-Based Mech WT
2352,CA,25,500,140,0,Ground-Based Mech WT
2353,CA,25,500,150,0,Ground-Based Mech WT
2354,CA,25,500,160,0,Ground-Based Mech WT
2355,CA,25,500,170,0,Ground-Based Mech WT
2356,CA,25,500,180,0,Ground-Based Mech WT
2357,CA,25,500,190,0,Ground-Based Mech WT
2358,CA,25,600,20,0,Ground-Based Mech WT
2359,CA,25,600,30,0,Ground-Based Mech WT
2360,CA,25,600,40,0,Ground-Based Mech WT
2361,CA,25,600,50,0,Ground-Based Mech WT
2362,CA,25,600,60,0,Ground-Based Mech WT
2363,CA,25,600,70,0,Ground-Based Mech WT
2364,CA,25,600,80,0,Ground-Based Mech WT
2365,CA,25,600,90,0,Ground-Based Mech WT
2366,CA,25,600,100,0,Ground-Based Mech WT
2367,CA,25,600,110,0,Ground-Based Mech WT
2368,CA,25,600,120,0,Ground-Based Mech WT
2369,CA,25,600,130,0,Ground-Based Mech WT
2370,CA,25,600,140,0,Ground-Based Mech WT
2371,CA,25,600,150,0,Ground-Based Mech WT
2372,CA,25,600,160,0,Ground-Based Mech WT
2373,CA,25,600,170,0,Ground-Based Mech WT
2374,CA,25,600,180,0,Ground-Based Mech WT
2375,CA,25,600,190,0,Ground-Based Mech WT
2376,CA,25,700,20,0,Ground-Based Mech WT
2377,CA,25,700,30,0,Ground-Based Mech WT
2378,CA,25,700,40,0,Ground-Based Mech WT
2379,CA,25,700,50,0,Ground-Based Mech WT
2380,CA,25,700,60,0,Ground-Based Mech WT
2381,CA,25,700,70,0,Ground-Based Mech WT
2382,CA,25,700,80,0,Ground-Based Mech WT
2383,CA,25,700,90,0,Ground-Based Mech WT
2384,CA,25,700,100,0,Ground-Based Mech WT
2385,CA,25,700,110,0,Ground-Based Mech WT
2386,CA,25,700,120,0,Ground-Based Mech WT
2387,CA,25,700,130,0,Ground-Based Mech WT
2388,CA,25,700,140,0,Ground-Based Mech WT
2389,CA,25,700,150,0,Ground-Based Mech WT
2390,CA,25,700,160,0,Ground-Based Mech WT
2391,CA,25,700,170,0,Ground-Based Mech WT
2392,CA,25,700,180,0,Ground-Based Mech WT
2393,CA,25,700,190,0,Ground-Based Mech WT
2394,CA,25,800,20,0,Ground-Based Mech WT
2395,CA,25,800,30,0,Ground-Based Mech WT
2396,CA,25,800,40,0,Ground-Based Mech WT
2397,CA,25,800,50,0,Ground-Based Mech WT
2398,CA,25,800,60,0,Ground-Based Mech WT
2399,CA,25,800,70,0,Ground-Based Mech WT
2400,CA,25,800,80,0,Ground-Based Mech WT
2401,CA,25,800,90,0,Ground-Based Mech WT
2402,CA,25,800,100,0,Ground-Based Mech WT
2403,CA,25,800,110,0,Ground-Based Mech WT
2404,CA,25,800,120,0,Ground-Based Mech WT
2405,CA,25,800,130,0,Ground-Based Mech WT
2406,CA,25,800,140,0,Ground-Based Mech WT
2407,CA,25,800,150,0,Ground-Based Mech WT
2408,CA,25,800,160,0,Ground-Based Mech WT
2409,CA,25,800,170,0,Ground-Based Mech WT
2410,CA,25,800,180,0,Ground-Based Mech WT
2411,CA,25,800,190,0,Ground-Based Mech WT
2412,CA,25,900,20,0,Ground-Based Mech WT
2413,CA,25,900,30,0,Ground-Based Mech WT
2414,CA,25,900,40,0,Ground-Based Mech WT
2415,CA,25,900,50,0,Ground-Based Mech WT
2416,CA,25,900,60,0,Ground-Based Mech WT
2417,CA,25,900,70,0,Ground-Based Mech WT
2418,CA,25,900,80,0,Ground-Based Mech WT
2419,CA,25,900,90,0,Ground-Based Mech WT
2420,CA,25,900,100,0,Ground-Based Mech WT
2421,CA,25,900,110,0,Ground-Based Mech WT
2422,CA,25,900,120,0,Ground-Based Mech WT
2423,CA,25,900,130,0,Ground-Based Mech WT
2424,CA,25,900,140,0,Ground-Based Mech WT
2425,CA,25,900,150,0,Ground-Based Mech WT
2426,CA,25,900,160,0,Ground-Based Mech WT
2427,CA,25,900,170,0,Ground-Based Mech WT
2428,CA,25,900,180,0,Ground-Based Mech WT
2429,CA,25,900,190,0,Ground-Based Mech WT
2430,CA,25,1000,20,0,Ground-Based Mech WT
2431,CA,25,1000,30,0,Ground-Based Mech WT
2432,CA,25,1000,40,0,Ground-Based Mech WT
2433,CA,25,1000,50,0,Ground-Based Mech WT
2434,CA,25,1000,60,0,Ground-Based Mech WT
2435,CA,25,1000,70,0,Ground-Based Mech WT
2436,CA,25,1000,80,0,Ground-Based Mech WT
2437,CA,25,1000,90,0,Ground-Based Mech WT
2438,CA,25,1000,100,0,Ground-Based Mech WT
2439,CA,25,1000,110,0,Ground-Based Mech WT
2440,CA,25,1000,120,0,Ground-Based Mech WT
2441,CA,25,1000,130,0,Ground-Based Mech WT
2442,CA,25,1000,140,0,Ground-Based Mech WT
2443,CA,25,1000,150,0,Ground-Based Mech WT
2444,CA,25,1000,160,0,Ground-Based Mech WT
2445,CA,25,1000,170,0,Ground-Based Mech WT
2446,CA,25,1000,180,0,Ground-Based Mech WT
2447,CA,25,1000,190,0,Ground-Based Mech WT
2448,CA,25,1100,20,0,Ground-Based Mech WT
2449,CA,25,1100,30,0,Ground-Based Mech WT
2450,CA,25,1100,40,0,Ground-Based Mech WT
2451,CA,25,1100,50,0,Ground-Based Mech WT
2452,CA,25,1100,60,0,Ground-Based Mech WT
2453,CA,25,1100,70,0,Ground-Based Mech WT
